description,start_time,end_time,transcript
Playing Games,8,11," The The The The The The The The The The The The The The The The The The The The The The The The The The The The The Thank you. Man, I slept really well, to be honest. Good. Considering. I was thinking, because last few days didn't... Somehow there was something to do. And tonight, I think we did well that we came early. You know, Kirby? Okay, camera one is going. Do we need that? Oh, okay, yes, of course. Sorry, keep doing. You're right. Hey, and a few bits. On which hand do you do it? I'm wearing on the left hand. I'm about to switch my watch around, right? So I have to choose. Maybe you can turn it to the right. Yes, yes, yes. I can? Yes. No. Oh, he's making a new hole. No, he's gonna fake. No, just like... Well, there's the car. Look at that. Look, it's like, over there. On the entrance there's a stack of them. Okay. Next to the power banks. Yeah, I know. I thought they were back to the hood. Okay. Here. I have a... We have what? Food and You can go back to get it. Good morning. Good morning. Let me see where the things are. Turn off this one first. Hey, what's up? Oh, here it one first? How did he do? Hey, how are you? How are you? How are you doing? You're not going. What? You're not recording. Okay, let's go. Now? Now you're recording. Yes. Have a gonna turn the clock. The important things. Hey Luca! Yes. Am I recording? What? Where is the... What? Am I recording? You're not recording. No. So it doesn't matter. I'm not saying that anyone can hear press. But I lost yesterday. Yes. And then it's just the red one. Oh. Yes. What happened? It was gold. Maybe somebody talked to us. Blued or something. Oh, you didn't put an SD card in the camera. You took it with you. Oh, shit. For a while. There is an SD card in my ear. Yes. You turn it off. The SD card is where you got the power back for me coming coming in three seconds"
Playing Games,11,338," The The The The The The The The The The The The The The The The The The The The The The The The The The The The The Thank you. Man, I slept really well, to be honest. Good. Considering. I was thinking, because last few days didn't... Somehow there was something to do. And tonight, I think we did well that we came early. You know, Kirby? Okay, camera one is going. Do we need that? Oh, okay, yes, of course. Sorry, keep doing. You're right. Hey, and a few bits. On which hand do you do it? I'm wearing on the left hand. I'm about to switch my watch around, right? So I have to choose. Maybe you can turn it to the right. Yes, yes, yes. I can? Yes. No. Oh, he's making a new hole. No, he's gonna fake. No, just like... Well, there's the car. Look at that. Look, it's like, over there. On the entrance there's a stack of them. Okay. Next to the power banks. Yeah, I know. I thought they were back to the hood. Okay. Here. I have a... We have what? Food and You can go back to get it. Good morning. Good morning. Let me see where the things are. Turn off this one first. Hey, what's up? Oh, here it one first? How did he do? Hey, how are you? How are you? How are you doing? You're not going. What? You're not recording. Okay, let's go. Now? Now you're recording. Yes. Have a gonna turn the clock. The important things. Hey Luca! Yes. Am I recording? What? Where is the... What? Am I recording? You're not recording. No. So it doesn't matter. I'm not saying that anyone can hear press. But I lost yesterday. Yes. And then it's just the red one. Oh. Yes. What happened? It was gold. Maybe somebody talked to us. Blued or something. Oh, you didn't put an SD card in the camera. You took it with you. Oh, shit. For a while. There is an SD card in my ear. Yes. You turn it off. The SD card is where you got the power back for me coming coming in three seconds"
Using Laptop,338,340," You can always, in England also, play with those taps, you know. I think it's somewhere here. It's over there. It's okay. Everybody should synchronize to the QR code, right? Oh, yeah. That's true. I think you should put a mirror here so that we know the QR code is in the way. In the camera. Kyle, where's the other mirror? There's a mirror somewhere. Would you put it on here? This one? Yeah, here. Okay, I'm on. It's pretty useful when he weighs. Not the one for the button. It's very important. Success in this operation. Not the sausage. Not the sausage. Should be at the top of the screen. Should be on or? You need to tap the back screen. Hi. Hi. This side. Which one?. You want sausage? Yeah, yeah, yeah."
Using Laptop,340,342," You can always, in England also, play with those taps, you know. I think it's somewhere here. It's over there. It's okay. Everybody should synchronize to the QR code, right? Oh, yeah. That's true. I think you should put a mirror here so that we know the QR code is in the way. In the camera. Kyle, where's the other mirror? There's a mirror somewhere. Would you put it on here? This one? Yeah, here. Okay, I'm on. It's pretty useful when he weighs. Not the one for the button. It's very important. Success in this operation. Not the sausage. Not the sausage. Should be at the top of the screen. Should be on or? You need to tap the back screen. Hi. Hi. This side. Which one?. You want sausage? Yeah, yeah, yeah."
Using Laptop,342,343," You can always, in England also, play with those taps, you know. I think it's somewhere here. It's over there. It's okay. Everybody should synchronize to the QR code, right? Oh, yeah. That's true. I think you should put a mirror here so that we know the QR code is in the way. In the camera. Kyle, where's the other mirror? There's a mirror somewhere. Would you put it on here? This one? Yeah, here. Okay, I'm on. It's pretty useful when he weighs. Not the one for the button. It's very important. Success in this operation. Not the sausage. Not the sausage. Should be at the top of the screen. Should be on or? You need to tap the back screen. Hi. Hi. This side. Which one?. You want sausage? Yeah, yeah, yeah."
Using Laptop,343,344," You can always, in England also, play with those taps, you know. I think it's somewhere here. It's over there. It's okay. Everybody should synchronize to the QR code, right? Oh, yeah. That's true. I think you should put a mirror here so that we know the QR code is in the way. In the camera. Kyle, where's the other mirror? There's a mirror somewhere. Would you put it on here? This one? Yeah, here. Okay, I'm on. It's pretty useful when he weighs. Not the one for the button. It's very important. Success in this operation. Not the sausage. Not the sausage. Should be at the top of the screen. Should be on or? You need to tap the back screen. Hi. Hi. This side. Which one?. You want sausage? Yeah, yeah, yeah."
Playing Games,344,791," You can always, in England also, play with those taps, you know. I think it's somewhere here. It's over there. It's okay. Everybody should synchronize to the QR code, right? Oh, yeah. That's true. I think you should put a mirror here so that we know the QR code is in the way. In the camera. Kyle, where's the other mirror? There's a mirror somewhere. Would you put it on here? This one? Yeah, here. Okay, I'm on. It's pretty useful when he weighs. Not the one for the button. It's very important. Success in this operation. Not the sausage. Not the sausage. Should be at the top of the screen. Should be on or? You need to tap the back screen. Hi. Hi. This side. Which one?. You want sausage? Yeah, yeah, yeah."
Leisure Activities,791,3600, I don't know. Not here. Okay. Somebody get the door. possibly
Playing Games,0,211, Two cards before Uno.
"**Leisure Activities** 

The scene depicts a gathering of people in a living room with a Christmas tree, suggesting a social or festive occasion. Several individuals are seen interacting, possibly engaging in conversation or enjoying each other's company, which falls under the umbrella of leisure activities.",211,212," thing, I'm just going to start numbering it. Right, so it might be an election later. Generates the same violence, so this is why it needs to be... Yeah, yeah, no, not what you mean. We need to have, yeah, yeah, yeah, yeah hours. 11, 12 hours. I, uh... What? I have a need for wearing the camera. You wear the camera, so it's easy. I wear the camera for like 11. 11? Yes. This one doesn't get out of the stage. It takes, it takes to be a hair stylist."
