description,start_time,end_time,transcript
Leisure Activities,222,375," Camera up there this one works. Got set up the same way. Okay. So, one here. And one there. Are we ready? Yeah. Mine has not enough power. power. Seriously? Oh yeah that happens, it's not the case, I think it's not true. I'll probably try another battery pack. Everyone is so quick in here, like one minute. So Kaper, do you have a hair dryer? No. No. Also, I don't. I have hairspray. No, no, it's okay. I have gel. I have gel. That's okay. It has to be more, right? Do you need shower gel? We bought extra shower gels. No, no, no, absolutely not. I'm fine. I was just wondering. Okay. It's just my room doesn not have one. No, my room doesn't have one. Okay. Okay, so we're press for the top ones, right? How do you press? At the top ones, at the side ones, the side turns on. Till it turns on. And then? And then it says not enough power. That's okay. Now press go. And now I'm right here, right? You don't have to change the time, right? That's not going anywhere, is it? No. Okay, you're on now. Okay. Maybe you're looking a little bit too far down. We can start after you leave. Yes. Yes, of course. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Maybe you're looking a bit too far down."
Walking,375,560," There's a mirror somewhere. We should put it at the keyhole. I know. The IKEA mirror. Okay, I know. It's really beautiful. It's very important. For the success of this operation, we need operation. Not the sausage ass. You need to tap for the back screen. Where's the fridge? This side. You want to see the fridge?"
"The classification for this segment is **Walking**. 
The person in the image is captured in motion, walking towards the door.",560,580,
Sitting,580,832," Let's see the social gifts. Yes. So, we're going to start with this. No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, Okay. So that's fine. I have a bunch of state cards. I have a bunch of state cards. Yeah, you can come over here. This is for me. This is for me. And this. Yeah, that's why I have a number. 24-star case. Oh, wait, wait. I took it yesterday, so now we're going to pay. No. Oh. Yes. I have to change OK? Don't we have light for more covers? I think we told them we don't have any."
**Leisure Activities**,832,1070," Let me show you something. Hi, how are you? Thank you. Hold the wire and just a little switch. Right. Good. Good. Thanks. Thanks. Thanks. Thanks. Thanks. Thanks. Why don't you just run it over to the other side? Because I want to mix with the extra. You can do that. It's all happening. It's all happening. You do all of that. Yeah. So you do all of that. Right. Right. Yeah. Right. Yeah. Yeah. Yeah. Yeah. Yeah. Right. Right. Right. All of it. All of it. All of it. Yeah. Yeah. Yeah. Yeah. Yeah. Yeah. Yeah. Yeah. Yeah. Yeah. Yeah. Yeah. Okay. I like my house. Who's talking Saturday? I am. We were... What happened today? The lady is finishing her... She's finishing her sportswear. Yeah, that's why I asked. The lady is doing it. We will be asking. We will be asking. We will be asking. We will be asking. We will be asking. We will be asking. Thank you. more water Yes. Old? Yes. Okay. Oh, we have one. Okay. Whisk, whisk. Okay, okay, okay. It makes very good. Yeah, mixer also. There is also a mixer. Okay, that's what we're offering you. We actually have to fill them at once. They probably need to wash first. What do they need? I think they need to use the last bit. So did we say thatella. Meillä on kruudella. Meillä on kruudella. Meillä on kruudella. Ehkä tarvitaan jotain... Ehkä tarvitaan jotain kappia. Ehkä tarvitaan jotain kappia. Minulla ei ole kruudella. Minä olen... Hän ol out looking for a shop. It works. I think we can go after where that gentleman made the coffee. But I have food. But I have a bit proper espresso, not this type of coffee. Do we have a pot of tea, or not? I mean, we have a pot of mushrooms. I've never seen frozen mushrooms. I've never seen frozen mushrooms. I've never seen frozen mushrooms. I've never seen frozen mushrooms. I've never seen frozen mushrooms. I've never seen frozen mushrooms. I've never seen frozen mushrooms. I've never seen frozen mushrooms. I've never seen frozen mushrooms. I've never seen frozen mushrooms. I've never seen frozen mushrooms. I don't get we should have one. Hey, guys, guys. I think we need to put one of these chefs."
Walking,1070,1079," Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. I'm not a basic chef, but... Hang on, is everybody's camera flashing red. Is everybody actually on? Yeah. Jordan, can you help me so we can have a look at the big adaptation? On the feet? Yes. This one has just the front buttons. Front buttons. Oh. Okay. Good God. This is, this is, this is... My GoPro tells me this battery is not enough for the camera. Yeah, I enough power? Not enough power. It does that sometimes. Okay. Just try again. Oh yeah, I'm trying. Yeah, it does that sometimes. It is not very consistent in its behavior. I suppose you don't pay these, no? No. You don't pay what? You don't pay your subsidies. Please, only stand up and take notes. We take your notes. They will always go up higher than you. Thank you. Thank you. Should we have 4K on the download? Or should it not be a 4K on WC?"
Leisure Activities,1079,1683," Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. I'm not a basic chef, but... Hang on, is everybody's camera flashing red. Is everybody actually on? Yeah. Jordan, can you help me so we can have a look at the big adaptation? On the feet? Yes. This one has just the front buttons. Front buttons. Oh. Okay. Good God. This is, this is, this is... My GoPro tells me this battery is not enough for the camera. Yeah, I enough power? Not enough power. It does that sometimes. Okay. Just try again. Oh yeah, I'm trying. Yeah, it does that sometimes. It is not very consistent in its behavior. I suppose you don't pay these, no? No. You don't pay what? You don't pay your subsidies. Please, only stand up and take notes. We take your notes. They will always go up higher than you. Thank you. Thank you. Should we have 4K on the download? Or should it not be a 4K on WC?"
Walking,1683,2215, Okay.
Sitting,2215,3600," Nice milk was yesterday. Yeah. Today or sometimes. I had a note to take yesterday morning. You didn't hear about this? I was supposed to hear about this. I was supposed to hear about this. I had to use the time to go. I mean we could use the time to go. I mean we could use the time to go. I mean we could use the time to go. Ah, it on the ground. Ah, there's more of those down there. Ah, right. Has anybody been buying this? I think this is almost up to soup. I don't know. I don't know. I don't know. It's just going to be a bit It might come out. It might. We will see what will be. It's not. It's not. Good morning, you seem in a good mood. Oh, yeah, except it's outside. It's outside. Oh, it's not looking for you. Thank you. Can you see where you are? Well, she has your address. Thank you. Thank you. right here it's not too far alright there is a church there just across the street now it's across the the bar apparently for sitting and catching I don't know yes I've been across the road. Yeah, exactly. Yeah. This is a fun area. Yes. There's also TV. All right. Yeah. All right. One minute. How many goes? Two. Two. Yeah. Yeah. Yeah, yeah, yeah. Thank you so much."
Leisure Activities,0,91," Það er það sem við erum að hljóða. Það er það sem við erum að hljóða. Það er það sem við erum að hljóða. Það er það sem við erum að hljóða. Það er það sem við erum að hljóða. Það er það sem við erum að hljóða. Það er það sem við erum að hljóða. Það er það sem við erum að hljóða. Það er það sem við erum að hljóða. Það er það sem við erum að hljóða. Það er það sem við erum að hljóða. Það er það sem við erum að hljóða. Það er það sem við erum að hljóða. Það er það sem við erum að hl. There is mushrooms. So basically you put mushrooms in. Don't worry about it. I have my sauce. No, no. Anything you add is benefit. So we used to make in the farm. You do pasta, you do pasta. I do the pots of some kind of tomato based sauce. I do the. What are we actually doing here? And then freeze them in small 400 gram things,"
