description,start_time,end_time,transcript
Setting Table,828,831, Prepare the table?
Setting Table,831,832, Prepare the table.
Walking,832,833," I think Ali disappeared, but he asked us to do it."
Using Laptop,833,834," I think Ali disappeared, but he asked us to do it."
Using Laptop,834,835," I think Ali disappeared, but he asked us to do it."
Leisure Activities,835,836, She ran.
**Using Laptop**,836,838, She ran.
Cooking,838,841," She did. No, she didn't. She's there."
"The image displays a kitchen scene with individuals engaged in food preparation. One person is actively cooking at a stove, and another is involved with ingredients on a countertop. Based on these observations, the most fitting classification for this segment is **Cooking**.",841,843, We talked to you and run away.
Cooking,843,846, What do you think of me?
"The image shows a kitchen scene. A person in a blue and white striped sweater is standing at a kitchen island, holding a bottle of water and a sponge. They appear to be cleaning or preparing something. Another person is in the foreground wearing a headset, looking towards the kitchen. The kitchen is well-lit and appears to be a domestic setting.

Based on the visual cues, the most fitting category is **Cleaning**. The person is actively engaged with cleaning supplies in a kitchen environment.",846,849,
Unclear,849,851,
"The image shows a kitchen counter with various items, including a coffee maker, a bottle of water, cups, and what appears to be a box of tea. There's also a cabinet with glassware above the counter. These items are commonly associated with making coffee and tea. Therefore, the most appropriate classification is **Making Coffee**.",851,852,
Leisure Activities,852,853,
Leisure Activities,853,854,
Leisure Activities,854,855,
Unclear,855,857,
Sitting,857,858,
Sitting,858,859,
Setting Table,859,860,
"The image depicts a dining room setting with a table laid out for a meal. There are people present, and the overall atmosphere suggests a social gathering or mealtime. Considering the available categories, the most fitting classification is **Eating**.",860,862,
Setting Table,862,867," I'll move the cookies over for breakfast. Yes. All right. Is this clean the things in the dishwasher? Yeah probably right? They look like. Okay now I leave this here. Okay then the first thing will be to empty the dishwasher. Okay, then the first thing will be to empty the dishwasher I don't know why we don't have space Is there a broom in this house? I have no idea, it looks like a hoover How come? Yeah there is a hoover Actually there are shoes I was waiting to lift them The back is almost done No, they're very pink."
Leisure Activities,867,868," I'll move the cookies over for breakfast. Yes. All right. Is this clean the things in the dishwasher? Yeah probably right? They look like. Okay now I leave this here. Okay then the first thing will be to empty the dishwasher. Okay, then the first thing will be to empty the dishwasher I don't know why we don't have space Is there a broom in this house? I have no idea, it looks like a hoover How come? Yeah there is a hoover Actually there are shoes I was waiting to lift them The back is almost done No, they're very pink."
Leisure Activities,868,869," I'll move the cookies over for breakfast. Yes. All right. Is this clean the things in the dishwasher? Yeah probably right? They look like. Okay now I leave this here. Okay then the first thing will be to empty the dishwasher. Okay, then the first thing will be to empty the dishwasher I don't know why we don't have space Is there a broom in this house? I have no idea, it looks like a hoover How come? Yeah there is a hoover Actually there are shoes I was waiting to lift them The back is almost done No, they're very pink."
Cleaning,869,874," I'll move the cookies over for breakfast. Yes. All right. Is this clean the things in the dishwasher? Yeah probably right? They look like. Okay now I leave this here. Okay then the first thing will be to empty the dishwasher. Okay, then the first thing will be to empty the dishwasher I don't know why we don't have space Is there a broom in this house? I have no idea, it looks like a hoover How come? Yeah there is a hoover Actually there are shoes I was waiting to lift them The back is almost done No, they're very pink."
Setting Table,874,879," I'll move the cookies over for breakfast. Yes. All right. Is this clean the things in the dishwasher? Yeah probably right? They look like. Okay now I leave this here. Okay then the first thing will be to empty the dishwasher. Okay, then the first thing will be to empty the dishwasher I don't know why we don't have space Is there a broom in this house? I have no idea, it looks like a hoover How come? Yeah there is a hoover Actually there are shoes I was waiting to lift them The back is almost done No, they're very pink."
Leisure Activities,879,880," I'll move the cookies over for breakfast. Yes. All right. Is this clean the things in the dishwasher? Yeah probably right? They look like. Okay now I leave this here. Okay then the first thing will be to empty the dishwasher. Okay, then the first thing will be to empty the dishwasher I don't know why we don't have space Is there a broom in this house? I have no idea, it looks like a hoover How come? Yeah there is a hoover Actually there are shoes I was waiting to lift them The back is almost done No, they're very pink."
Cooking,880,881," I'll move the cookies over for breakfast. Yes. All right. Is this clean the things in the dishwasher? Yeah probably right? They look like. Okay now I leave this here. Okay then the first thing will be to empty the dishwasher. Okay, then the first thing will be to empty the dishwasher I don't know why we don't have space Is there a broom in this house? I have no idea, it looks like a hoover How come? Yeah there is a hoover Actually there are shoes I was waiting to lift them The back is almost done No, they're very pink."
Cooking,881,884," I'll move the cookies over for breakfast. Yes. All right. Is this clean the things in the dishwasher? Yeah probably right? They look like. Okay now I leave this here. Okay then the first thing will be to empty the dishwasher. Okay, then the first thing will be to empty the dishwasher I don't know why we don't have space Is there a broom in this house? I have no idea, it looks like a hoover How come? Yeah there is a hoover Actually there are shoes I was waiting to lift them The back is almost done No, they're very pink."
Sitting,884,885," I'll move the cookies over for breakfast. Yes. All right. Is this clean the things in the dishwasher? Yeah probably right? They look like. Okay now I leave this here. Okay then the first thing will be to empty the dishwasher. Okay, then the first thing will be to empty the dishwasher I don't know why we don't have space Is there a broom in this house? I have no idea, it looks like a hoover How come? Yeah there is a hoover Actually there are shoes I was waiting to lift them The back is almost done No, they're very pink."
Making Coffee,885,886," I'll move the cookies over for breakfast. Yes. All right. Is this clean the things in the dishwasher? Yeah probably right? They look like. Okay now I leave this here. Okay then the first thing will be to empty the dishwasher. Okay, then the first thing will be to empty the dishwasher I don't know why we don't have space Is there a broom in this house? I have no idea, it looks like a hoover How come? Yeah there is a hoover Actually there are shoes I was waiting to lift them The back is almost done No, they're very pink."
