description,start_time,end_time,transcript
"The image provided shows a kitchen counter with various food items, ingredients, and kitchen utensils. This strongly suggests that the activity taking place is **Cooking**.",0,17," Gå in på en kåre. 1 tbsp. of salt 1 tbsp. of pepper 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic Kek鶏肉を炒める 1 tbsp. of salt 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper Thank you for watching! Rettet vi kvar. 아기 집사는 물을 많이 넣지 않으면 물이 빠지니까 물을 많이 넣지 않으면 물이 빠지니까 물이 빠지니까 물을 많이 넣지 않으면 물이 빠지니까 물이 빠지니까 물을 많이 넣지 않으면 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 감사합니다. Gå inn i kålen.嗯 Yeah. Mhm. I don't know why I have to put it in there. You can put it in there. Do you have jam? Yeah, right here. Yes. I remember buying jam. Yeah. In the second trip. Yeah, right here. I remember buying jam on the second trip. And a small one. Yeah the yellow one right? yeah It's okay, I already got one. This was just sitting here for about 20 days. This one is russet. What is this? Brussels. Why are people not eating their stuff while it is still here. Do you want the fried egg? Too late now. No. Fried eggs takes a few minutes. No, I mean like, I had too much earlier. Yeah, compared to the Irish breakfast. Who else wants fried eggs? Me. If you're frying eggs, I can take one. Can you do a sunny side up for me? Um, I won't fry it. Sunny side up. up yeah so just not flip it yes yes that i can do what are you saying why did you think i meant the one that is that is not that is sunny side down yes I think I got some murder murder there yeah what a lot of people do that"
Using Phone,17,18," Gå in på en kåre. 1 tbsp. of salt 1 tbsp. of pepper 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic Kek鶏肉を炒める 1 tbsp. of salt 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper Thank you for watching! Rettet vi kvar. 아기 집사는 물을 많이 넣지 않으면 물이 빠지니까 물을 많이 넣지 않으면 물이 빠지니까 물이 빠지니까 물을 많이 넣지 않으면 물이 빠지니까 물이 빠지니까 물을 많이 넣지 않으면 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 감사합니다. Gå inn i kålen.嗯 Yeah. Mhm. I don't know why I have to put it in there. You can put it in there. Do you have jam? Yeah, right here. Yes. I remember buying jam. Yeah. In the second trip. Yeah, right here. I remember buying jam on the second trip. And a small one. Yeah the yellow one right? yeah It's okay, I already got one. This was just sitting here for about 20 days. This one is russet. What is this? Brussels. Why are people not eating their stuff while it is still here. Do you want the fried egg? Too late now. No. Fried eggs takes a few minutes. No, I mean like, I had too much earlier. Yeah, compared to the Irish breakfast. Who else wants fried eggs? Me. If you're frying eggs, I can take one. Can you do a sunny side up for me? Um, I won't fry it. Sunny side up. up yeah so just not flip it yes yes that i can do what are you saying why did you think i meant the one that is that is not that is sunny side down yes I think I got some murder murder there yeah what a lot of people do that"
"The image shows a kitchen counter with various food items, including butter, cheese, ketchup, and bags of flour. There is also a person in the image who appears to be preparing food. Based on these visual cues, the most appropriate classification for this segment is **Cooking**.",18,22," Gå in på en kåre. 1 tbsp. of salt 1 tbsp. of pepper 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic Kek鶏肉を炒める 1 tbsp. of salt 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper Thank you for watching! Rettet vi kvar. 아기 집사는 물을 많이 넣지 않으면 물이 빠지니까 물을 많이 넣지 않으면 물이 빠지니까 물이 빠지니까 물을 많이 넣지 않으면 물이 빠지니까 물이 빠지니까 물을 많이 넣지 않으면 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 감사합니다. Gå inn i kålen.嗯 Yeah. Mhm. I don't know why I have to put it in there. You can put it in there. Do you have jam? Yeah, right here. Yes. I remember buying jam. Yeah. In the second trip. Yeah, right here. I remember buying jam on the second trip. And a small one. Yeah the yellow one right? yeah It's okay, I already got one. This was just sitting here for about 20 days. This one is russet. What is this? Brussels. Why are people not eating their stuff while it is still here. Do you want the fried egg? Too late now. No. Fried eggs takes a few minutes. No, I mean like, I had too much earlier. Yeah, compared to the Irish breakfast. Who else wants fried eggs? Me. If you're frying eggs, I can take one. Can you do a sunny side up for me? Um, I won't fry it. Sunny side up. up yeah so just not flip it yes yes that i can do what are you saying why did you think i meant the one that is that is not that is sunny side down yes I think I got some murder murder there yeah what a lot of people do that"
"The image shows ingredients and cooking utensils on a kitchen counter, suggesting that the activity taking place is **Cooking**.",22,24," Gå in på en kåre. 1 tbsp. of salt 1 tbsp. of pepper 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic Kek鶏肉を炒める 1 tbsp. of salt 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper Thank you for watching! Rettet vi kvar. 아기 집사는 물을 많이 넣지 않으면 물이 빠지니까 물을 많이 넣지 않으면 물이 빠지니까 물이 빠지니까 물을 많이 넣지 않으면 물이 빠지니까 물이 빠지니까 물을 많이 넣지 않으면 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 감사합니다. Gå inn i kålen.嗯 Yeah. Mhm. I don't know why I have to put it in there. You can put it in there. Do you have jam? Yeah, right here. Yes. I remember buying jam. Yeah. In the second trip. Yeah, right here. I remember buying jam on the second trip. And a small one. Yeah the yellow one right? yeah It's okay, I already got one. This was just sitting here for about 20 days. This one is russet. What is this? Brussels. Why are people not eating their stuff while it is still here. Do you want the fried egg? Too late now. No. Fried eggs takes a few minutes. No, I mean like, I had too much earlier. Yeah, compared to the Irish breakfast. Who else wants fried eggs? Me. If you're frying eggs, I can take one. Can you do a sunny side up for me? Um, I won't fry it. Sunny side up. up yeah so just not flip it yes yes that i can do what are you saying why did you think i meant the one that is that is not that is sunny side down yes I think I got some murder murder there yeah what a lot of people do that"
Cooking,24,30," Gå in på en kåre. 1 tbsp. of salt 1 tbsp. of pepper 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic Kek鶏肉を炒める 1 tbsp. of salt 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper Thank you for watching! Rettet vi kvar. 아기 집사는 물을 많이 넣지 않으면 물이 빠지니까 물을 많이 넣지 않으면 물이 빠지니까 물이 빠지니까 물을 많이 넣지 않으면 물이 빠지니까 물이 빠지니까 물을 많이 넣지 않으면 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 감사합니다. Gå inn i kålen.嗯 Yeah. Mhm. I don't know why I have to put it in there. You can put it in there. Do you have jam? Yeah, right here. Yes. I remember buying jam. Yeah. In the second trip. Yeah, right here. I remember buying jam on the second trip. And a small one. Yeah the yellow one right? yeah It's okay, I already got one. This was just sitting here for about 20 days. This one is russet. What is this? Brussels. Why are people not eating their stuff while it is still here. Do you want the fried egg? Too late now. No. Fried eggs takes a few minutes. No, I mean like, I had too much earlier. Yeah, compared to the Irish breakfast. Who else wants fried eggs? Me. If you're frying eggs, I can take one. Can you do a sunny side up for me? Um, I won't fry it. Sunny side up. up yeah so just not flip it yes yes that i can do what are you saying why did you think i meant the one that is that is not that is sunny side down yes I think I got some murder murder there yeah what a lot of people do that"
Cooking,30,32," Gå in på en kåre. 1 tbsp. of salt 1 tbsp. of pepper 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic Kek鶏肉を炒める 1 tbsp. of salt 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper Thank you for watching! Rettet vi kvar. 아기 집사는 물을 많이 넣지 않으면 물이 빠지니까 물을 많이 넣지 않으면 물이 빠지니까 물이 빠지니까 물을 많이 넣지 않으면 물이 빠지니까 물이 빠지니까 물을 많이 넣지 않으면 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 감사합니다. Gå inn i kålen.嗯 Yeah. Mhm. I don't know why I have to put it in there. You can put it in there. Do you have jam? Yeah, right here. Yes. I remember buying jam. Yeah. In the second trip. Yeah, right here. I remember buying jam on the second trip. And a small one. Yeah the yellow one right? yeah It's okay, I already got one. This was just sitting here for about 20 days. This one is russet. What is this? Brussels. Why are people not eating their stuff while it is still here. Do you want the fried egg? Too late now. No. Fried eggs takes a few minutes. No, I mean like, I had too much earlier. Yeah, compared to the Irish breakfast. Who else wants fried eggs? Me. If you're frying eggs, I can take one. Can you do a sunny side up for me? Um, I won't fry it. Sunny side up. up yeah so just not flip it yes yes that i can do what are you saying why did you think i meant the one that is that is not that is sunny side down yes I think I got some murder murder there yeah what a lot of people do that"
"**Cooking** 

The image shows a shelf filled with various food items and spices, suggesting that someone is preparing to cook or has recently cooked.",32,33," Gå in på en kåre. 1 tbsp. of salt 1 tbsp. of pepper 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic Kek鶏肉を炒める 1 tbsp. of salt 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper Thank you for watching! Rettet vi kvar. 아기 집사는 물을 많이 넣지 않으면 물이 빠지니까 물을 많이 넣지 않으면 물이 빠지니까 물이 빠지니까 물을 많이 넣지 않으면 물이 빠지니까 물이 빠지니까 물을 많이 넣지 않으면 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 감사합니다. Gå inn i kålen.嗯 Yeah. Mhm. I don't know why I have to put it in there. You can put it in there. Do you have jam? Yeah, right here. Yes. I remember buying jam. Yeah. In the second trip. Yeah, right here. I remember buying jam on the second trip. And a small one. Yeah the yellow one right? yeah It's okay, I already got one. This was just sitting here for about 20 days. This one is russet. What is this? Brussels. Why are people not eating their stuff while it is still here. Do you want the fried egg? Too late now. No. Fried eggs takes a few minutes. No, I mean like, I had too much earlier. Yeah, compared to the Irish breakfast. Who else wants fried eggs? Me. If you're frying eggs, I can take one. Can you do a sunny side up for me? Um, I won't fry it. Sunny side up. up yeah so just not flip it yes yes that i can do what are you saying why did you think i meant the one that is that is not that is sunny side down yes I think I got some murder murder there yeah what a lot of people do that"
Using Phone,33,35," Gå in på en kåre. 1 tbsp. of salt 1 tbsp. of pepper 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic Kek鶏肉を炒める 1 tbsp. of salt 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper Thank you for watching! Rettet vi kvar. 아기 집사는 물을 많이 넣지 않으면 물이 빠지니까 물을 많이 넣지 않으면 물이 빠지니까 물이 빠지니까 물을 많이 넣지 않으면 물이 빠지니까 물이 빠지니까 물을 많이 넣지 않으면 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 감사합니다. Gå inn i kålen.嗯 Yeah. Mhm. I don't know why I have to put it in there. You can put it in there. Do you have jam? Yeah, right here. Yes. I remember buying jam. Yeah. In the second trip. Yeah, right here. I remember buying jam on the second trip. And a small one. Yeah the yellow one right? yeah It's okay, I already got one. This was just sitting here for about 20 days. This one is russet. What is this? Brussels. Why are people not eating their stuff while it is still here. Do you want the fried egg? Too late now. No. Fried eggs takes a few minutes. No, I mean like, I had too much earlier. Yeah, compared to the Irish breakfast. Who else wants fried eggs? Me. If you're frying eggs, I can take one. Can you do a sunny side up for me? Um, I won't fry it. Sunny side up. up yeah so just not flip it yes yes that i can do what are you saying why did you think i meant the one that is that is not that is sunny side down yes I think I got some murder murder there yeah what a lot of people do that"
Using Phone,35,76," Gå in på en kåre. 1 tbsp. of salt 1 tbsp. of pepper 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic Kek鶏肉を炒める 1 tbsp. of salt 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper Thank you for watching! Rettet vi kvar. 아기 집사는 물을 많이 넣지 않으면 물이 빠지니까 물을 많이 넣지 않으면 물이 빠지니까 물이 빠지니까 물을 많이 넣지 않으면 물이 빠지니까 물이 빠지니까 물을 많이 넣지 않으면 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 감사합니다. Gå inn i kålen.嗯 Yeah. Mhm. I don't know why I have to put it in there. You can put it in there. Do you have jam? Yeah, right here. Yes. I remember buying jam. Yeah. In the second trip. Yeah, right here. I remember buying jam on the second trip. And a small one. Yeah the yellow one right? yeah It's okay, I already got one. This was just sitting here for about 20 days. This one is russet. What is this? Brussels. Why are people not eating their stuff while it is still here. Do you want the fried egg? Too late now. No. Fried eggs takes a few minutes. No, I mean like, I had too much earlier. Yeah, compared to the Irish breakfast. Who else wants fried eggs? Me. If you're frying eggs, I can take one. Can you do a sunny side up for me? Um, I won't fry it. Sunny side up. up yeah so just not flip it yes yes that i can do what are you saying why did you think i meant the one that is that is not that is sunny side down yes I think I got some murder murder there yeah what a lot of people do that"
Cooking,76,78," Gå in på en kåre. 1 tbsp. of salt 1 tbsp. of pepper 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic 1 tbsp. of garlic Kek鶏肉を炒める 1 tbsp. of salt 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper 1 tbsp. of pepper Thank you for watching! Rettet vi kvar. 아기 집사는 물을 많이 넣지 않으면 물이 빠지니까 물을 많이 넣지 않으면 물이 빠지니까 물이 빠지니까 물을 많이 넣지 않으면 물이 빠지니까 물이 빠지니까 물을 많이 넣지 않으면 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 물이 빠지니까 감사합니다. Gå inn i kålen.嗯 Yeah. Mhm. I don't know why I have to put it in there. You can put it in there. Do you have jam? Yeah, right here. Yes. I remember buying jam. Yeah. In the second trip. Yeah, right here. I remember buying jam on the second trip. And a small one. Yeah the yellow one right? yeah It's okay, I already got one. This was just sitting here for about 20 days. This one is russet. What is this? Brussels. Why are people not eating their stuff while it is still here. Do you want the fried egg? Too late now. No. Fried eggs takes a few minutes. No, I mean like, I had too much earlier. Yeah, compared to the Irish breakfast. Who else wants fried eggs? Me. If you're frying eggs, I can take one. Can you do a sunny side up for me? Um, I won't fry it. Sunny side up. up yeah so just not flip it yes yes that i can do what are you saying why did you think i meant the one that is that is not that is sunny side down yes I think I got some murder murder there yeah what a lot of people do that"
