description,start_time,end_time,transcript
"The image shows a person standing in a kitchen, looking into an open cabinet. There are various items on the shelves, including food items and bottles. The person appears to be in the process of selecting something from the cabinet, which could be related to preparing food or a drink. Given the context of a kitchen and the action of looking into a cabinet with food items, the most fitting category is **Cooking**.",438,440," you you you you you you you you you you you you you you you you you you you you Thank you. You Hello smokehouse Spread What's that? We made our homemade spread. Yes. With nuts. No. No. It's, it's. Rice. Your, your recipe has, has close to the. Porridge. Well, no, it's cream cheese salad. Okay. Oh, right. Okay. Super. I'm going to have to plug in the car for a while so it might get a bit cold but if don't do it now we're not gonna get a chance yes I'm gonna do that now four o'clock not 3.30 for the salmon. Okay. And we paid for 13 people not 11."
The segment is classified as **Cooking**.,440,442," you you you you you you you you you you you you you you you you you you you you Thank you. You Hello smokehouse Spread What's that? We made our homemade spread. Yes. With nuts. No. No. It's, it's. Rice. Your, your recipe has, has close to the. Porridge. Well, no, it's cream cheese salad. Okay. Oh, right. Okay. Super. I'm going to have to plug in the car for a while so it might get a bit cold but if don't do it now we're not gonna get a chance yes I'm gonna do that now four o'clock not 3.30 for the salmon. Okay. And we paid for 13 people not 11."
"The image shows a person in a kitchen, with a pan of eggs cooking on the stovetop. This clearly indicates the activity of **Cooking**.",442,443," you you you you you you you you you you you you you you you you you you you you Thank you. You Hello smokehouse Spread What's that? We made our homemade spread. Yes. With nuts. No. No. It's, it's. Rice. Your, your recipe has, has close to the. Porridge. Well, no, it's cream cheese salad. Okay. Oh, right. Okay. Super. I'm going to have to plug in the car for a while so it might get a bit cold but if don't do it now we're not gonna get a chance yes I'm gonna do that now four o'clock not 3.30 for the salmon. Okay. And we paid for 13 people not 11."
The image shows a pan with eggs cooking on a stovetop. This indicates the activity of **Cooking**.,443,444," you you you you you you you you you you you you you you you you you you you you Thank you. You Hello smokehouse Spread What's that? We made our homemade spread. Yes. With nuts. No. No. It's, it's. Rice. Your, your recipe has, has close to the. Porridge. Well, no, it's cream cheese salad. Okay. Oh, right. Okay. Super. I'm going to have to plug in the car for a while so it might get a bit cold but if don't do it now we're not gonna get a chance yes I'm gonna do that now four o'clock not 3.30 for the salmon. Okay. And we paid for 13 people not 11."
Cooking,444,445," you you you you you you you you you you you you you you you you you you you you Thank you. You Hello smokehouse Spread What's that? We made our homemade spread. Yes. With nuts. No. No. It's, it's. Rice. Your, your recipe has, has close to the. Porridge. Well, no, it's cream cheese salad. Okay. Oh, right. Okay. Super. I'm going to have to plug in the car for a while so it might get a bit cold but if don't do it now we're not gonna get a chance yes I'm gonna do that now four o'clock not 3.30 for the salmon. Okay. And we paid for 13 people not 11."
Eating,445,446," you you you you you you you you you you you you you you you you you you you you Thank you. You Hello smokehouse Spread What's that? We made our homemade spread. Yes. With nuts. No. No. It's, it's. Rice. Your, your recipe has, has close to the. Porridge. Well, no, it's cream cheese salad. Okay. Oh, right. Okay. Super. I'm going to have to plug in the car for a while so it might get a bit cold but if don't do it now we're not gonna get a chance yes I'm gonna do that now four o'clock not 3.30 for the salmon. Okay. And we paid for 13 people not 11."
Sitting,446,447," you you you you you you you you you you you you you you you you you you you you Thank you. You Hello smokehouse Spread What's that? We made our homemade spread. Yes. With nuts. No. No. It's, it's. Rice. Your, your recipe has, has close to the. Porridge. Well, no, it's cream cheese salad. Okay. Oh, right. Okay. Super. I'm going to have to plug in the car for a while so it might get a bit cold but if don't do it now we're not gonna get a chance yes I'm gonna do that now four o'clock not 3.30 for the salmon. Okay. And we paid for 13 people not 11."
Eating,447,453," you you you you you you you you you you you you you you you you you you you you Thank you. You Hello smokehouse Spread What's that? We made our homemade spread. Yes. With nuts. No. No. It's, it's. Rice. Your, your recipe has, has close to the. Porridge. Well, no, it's cream cheese salad. Okay. Oh, right. Okay. Super. I'm going to have to plug in the car for a while so it might get a bit cold but if don't do it now we're not gonna get a chance yes I'm gonna do that now four o'clock not 3.30 for the salmon. Okay. And we paid for 13 people not 11."
Setting Table,453,455," you you you you you you you you you you you you you you you you you you you you Thank you. You Hello smokehouse Spread What's that? We made our homemade spread. Yes. With nuts. No. No. It's, it's. Rice. Your, your recipe has, has close to the. Porridge. Well, no, it's cream cheese salad. Okay. Oh, right. Okay. Super. I'm going to have to plug in the car for a while so it might get a bit cold but if don't do it now we're not gonna get a chance yes I'm gonna do that now four o'clock not 3.30 for the salmon. Okay. And we paid for 13 people not 11."
Sitting,455,466," you you you you you you you you you you you you you you you you you you you you Thank you. You Hello smokehouse Spread What's that? We made our homemade spread. Yes. With nuts. No. No. It's, it's. Rice. Your, your recipe has, has close to the. Porridge. Well, no, it's cream cheese salad. Okay. Oh, right. Okay. Super. I'm going to have to plug in the car for a while so it might get a bit cold but if don't do it now we're not gonna get a chance yes I'm gonna do that now four o'clock not 3.30 for the salmon. Okay. And we paid for 13 people not 11."
Washing dishes,466,468," you you you you you you you you you you you you you you you you you you you you Thank you. You Hello smokehouse Spread What's that? We made our homemade spread. Yes. With nuts. No. No. It's, it's. Rice. Your, your recipe has, has close to the. Porridge. Well, no, it's cream cheese salad. Okay. Oh, right. Okay. Super. I'm going to have to plug in the car for a while so it might get a bit cold but if don't do it now we're not gonna get a chance yes I'm gonna do that now four o'clock not 3.30 for the salmon. Okay. And we paid for 13 people not 11."
Using Laptop,468,472," you you you you you you you you you you you you you you you you you you you you Thank you. You Hello smokehouse Spread What's that? We made our homemade spread. Yes. With nuts. No. No. It's, it's. Rice. Your, your recipe has, has close to the. Porridge. Well, no, it's cream cheese salad. Okay. Oh, right. Okay. Super. I'm going to have to plug in the car for a while so it might get a bit cold but if don't do it now we're not gonna get a chance yes I'm gonna do that now four o'clock not 3.30 for the salmon. Okay. And we paid for 13 people not 11."
Cooking,472,473," you you you you you you you you you you you you you you you you you you you you Thank you. You Hello smokehouse Spread What's that? We made our homemade spread. Yes. With nuts. No. No. It's, it's. Rice. Your, your recipe has, has close to the. Porridge. Well, no, it's cream cheese salad. Okay. Oh, right. Okay. Super. I'm going to have to plug in the car for a while so it might get a bit cold but if don't do it now we're not gonna get a chance yes I'm gonna do that now four o'clock not 3.30 for the salmon. Okay. And we paid for 13 people not 11."
