description,start_time,end_time,transcript
Leisure Activities,138,139," you you you you you you I'm only happy with the happy quiz. Yes, good afternoon. I'm only three minutes late. And the workshop is going well I see. Yes, we're already done. Oh, that was a quick workshop. We had a very successful workshop. I didn't know you could fit 90 minutes into three. We were very efficient salmon with capers is it actually No, it's It's very good. You should try it if you like capers. capers. I don't even like capers. It's not that capery."
Leisure Activities,139,141," you you you you you you I'm only happy with the happy quiz. Yes, good afternoon. I'm only three minutes late. And the workshop is going well I see. Yes, we're already done. Oh, that was a quick workshop. We had a very successful workshop. I didn't know you could fit 90 minutes into three. We were very efficient salmon with capers is it actually No, it's It's very good. You should try it if you like capers. capers. I don't even like capers. It's not that capery."
Leisure Activities,141,142," you you you you you you I'm only happy with the happy quiz. Yes, good afternoon. I'm only three minutes late. And the workshop is going well I see. Yes, we're already done. Oh, that was a quick workshop. We had a very successful workshop. I didn't know you could fit 90 minutes into three. We were very efficient salmon with capers is it actually No, it's It's very good. You should try it if you like capers. capers. I don't even like capers. It's not that capery."
Playing Games,142,143," you you you you you you I'm only happy with the happy quiz. Yes, good afternoon. I'm only three minutes late. And the workshop is going well I see. Yes, we're already done. Oh, that was a quick workshop. We had a very successful workshop. I didn't know you could fit 90 minutes into three. We were very efficient salmon with capers is it actually No, it's It's very good. You should try it if you like capers. capers. I don't even like capers. It's not that capery."
Playing Games,143,144," you you you you you you I'm only happy with the happy quiz. Yes, good afternoon. I'm only three minutes late. And the workshop is going well I see. Yes, we're already done. Oh, that was a quick workshop. We had a very successful workshop. I didn't know you could fit 90 minutes into three. We were very efficient salmon with capers is it actually No, it's It's very good. You should try it if you like capers. capers. I don't even like capers. It's not that capery."
"The image depicts a group of people gathered around a table, with chips and what appears to be a board game laid out. Some individuals are wearing head-mounted devices, possibly for a game or activity. The overall atmosphere suggests a social gathering focused on entertainment. Therefore, the most fitting category is **Leisure Activities**.",144,145," you you you you you you I'm only happy with the happy quiz. Yes, good afternoon. I'm only three minutes late. And the workshop is going well I see. Yes, we're already done. Oh, that was a quick workshop. We had a very successful workshop. I didn't know you could fit 90 minutes into three. We were very efficient salmon with capers is it actually No, it's It's very good. You should try it if you like capers. capers. I don't even like capers. It's not that capery."
Playing Games,145,147," you you you you you you I'm only happy with the happy quiz. Yes, good afternoon. I'm only three minutes late. And the workshop is going well I see. Yes, we're already done. Oh, that was a quick workshop. We had a very successful workshop. I didn't know you could fit 90 minutes into three. We were very efficient salmon with capers is it actually No, it's It's very good. You should try it if you like capers. capers. I don't even like capers. It's not that capery."
Leisure Activities,147,152," you you you you you you I'm only happy with the happy quiz. Yes, good afternoon. I'm only three minutes late. And the workshop is going well I see. Yes, we're already done. Oh, that was a quick workshop. We had a very successful workshop. I didn't know you could fit 90 minutes into three. We were very efficient salmon with capers is it actually No, it's It's very good. You should try it if you like capers. capers. I don't even like capers. It's not that capery."
"The image shows a person playing darts. Therefore, the category is **Leisure Activities**.",152,156," you you you you you you I'm only happy with the happy quiz. Yes, good afternoon. I'm only three minutes late. And the workshop is going well I see. Yes, we're already done. Oh, that was a quick workshop. We had a very successful workshop. I didn't know you could fit 90 minutes into three. We were very efficient salmon with capers is it actually No, it's It's very good. You should try it if you like capers. capers. I don't even like capers. It's not that capery."
Playing Games,156,157," you you you you you you I'm only happy with the happy quiz. Yes, good afternoon. I'm only three minutes late. And the workshop is going well I see. Yes, we're already done. Oh, that was a quick workshop. We had a very successful workshop. I didn't know you could fit 90 minutes into three. We were very efficient salmon with capers is it actually No, it's It's very good. You should try it if you like capers. capers. I don't even like capers. It's not that capery."
Playing Games,157,158," you you you you you you I'm only happy with the happy quiz. Yes, good afternoon. I'm only three minutes late. And the workshop is going well I see. Yes, we're already done. Oh, that was a quick workshop. We had a very successful workshop. I didn't know you could fit 90 minutes into three. We were very efficient salmon with capers is it actually No, it's It's very good. You should try it if you like capers. capers. I don't even like capers. It's not that capery."
Playing Games,158,159," you you you you you you I'm only happy with the happy quiz. Yes, good afternoon. I'm only three minutes late. And the workshop is going well I see. Yes, we're already done. Oh, that was a quick workshop. We had a very successful workshop. I didn't know you could fit 90 minutes into three. We were very efficient salmon with capers is it actually No, it's It's very good. You should try it if you like capers. capers. I don't even like capers. It's not that capery."
Playing Games,159,161," you you you you you you I'm only happy with the happy quiz. Yes, good afternoon. I'm only three minutes late. And the workshop is going well I see. Yes, we're already done. Oh, that was a quick workshop. We had a very successful workshop. I didn't know you could fit 90 minutes into three. We were very efficient salmon with capers is it actually No, it's It's very good. You should try it if you like capers. capers. I don't even like capers. It's not that capery."
Leisure Activities,161,162," you you you you you you I'm only happy with the happy quiz. Yes, good afternoon. I'm only three minutes late. And the workshop is going well I see. Yes, we're already done. Oh, that was a quick workshop. We had a very successful workshop. I didn't know you could fit 90 minutes into three. We were very efficient salmon with capers is it actually No, it's It's very good. You should try it if you like capers. capers. I don't even like capers. It's not that capery."
Playing Games,162,163," you you you you you you I'm only happy with the happy quiz. Yes, good afternoon. I'm only three minutes late. And the workshop is going well I see. Yes, we're already done. Oh, that was a quick workshop. We had a very successful workshop. I didn't know you could fit 90 minutes into three. We were very efficient salmon with capers is it actually No, it's It's very good. You should try it if you like capers. capers. I don't even like capers. It's not that capery."
Leisure Activities,163,164," you you you you you you I'm only happy with the happy quiz. Yes, good afternoon. I'm only three minutes late. And the workshop is going well I see. Yes, we're already done. Oh, that was a quick workshop. We had a very successful workshop. I didn't know you could fit 90 minutes into three. We were very efficient salmon with capers is it actually No, it's It's very good. You should try it if you like capers. capers. I don't even like capers. It's not that capery."
Leisure Activities,164,169," you you you you you you I'm only happy with the happy quiz. Yes, good afternoon. I'm only three minutes late. And the workshop is going well I see. Yes, we're already done. Oh, that was a quick workshop. We had a very successful workshop. I didn't know you could fit 90 minutes into three. We were very efficient salmon with capers is it actually No, it's It's very good. You should try it if you like capers. capers. I don't even like capers. It's not that capery."
Leisure Activities,169,170," you you you you you you I'm only happy with the happy quiz. Yes, good afternoon. I'm only three minutes late. And the workshop is going well I see. Yes, we're already done. Oh, that was a quick workshop. We had a very successful workshop. I didn't know you could fit 90 minutes into three. We were very efficient salmon with capers is it actually No, it's It's very good. You should try it if you like capers. capers. I don't even like capers. It's not that capery."
The segment shows a person coloring and a dart game on the bench. This clearly falls under the category of **Leisure Activities**.,170,171," you you you you you you I'm only happy with the happy quiz. Yes, good afternoon. I'm only three minutes late. And the workshop is going well I see. Yes, we're already done. Oh, that was a quick workshop. We had a very successful workshop. I didn't know you could fit 90 minutes into three. We were very efficient salmon with capers is it actually No, it's It's very good. You should try it if you like capers. capers. I don't even like capers. It's not that capery."
Leisure Activities,171,175," you you you you you you I'm only happy with the happy quiz. Yes, good afternoon. I'm only three minutes late. And the workshop is going well I see. Yes, we're already done. Oh, that was a quick workshop. We had a very successful workshop. I didn't know you could fit 90 minutes into three. We were very efficient salmon with capers is it actually No, it's It's very good. You should try it if you like capers. capers. I don't even like capers. It's not that capery."
Leisure Activities,175,185," you you you you you you I'm only happy with the happy quiz. Yes, good afternoon. I'm only three minutes late. And the workshop is going well I see. Yes, we're already done. Oh, that was a quick workshop. We had a very successful workshop. I didn't know you could fit 90 minutes into three. We were very efficient salmon with capers is it actually No, it's It's very good. You should try it if you like capers. capers. I don't even like capers. It's not that capery."
Leisure Activities,185,191," you you you you you you I'm only happy with the happy quiz. Yes, good afternoon. I'm only three minutes late. And the workshop is going well I see. Yes, we're already done. Oh, that was a quick workshop. We had a very successful workshop. I didn't know you could fit 90 minutes into three. We were very efficient salmon with capers is it actually No, it's It's very good. You should try it if you like capers. capers. I don't even like capers. It's not that capery."
Using Phone,191,192," Okay. Here, there's a bit here you can taste it."
Leisure Activities,192,198," No, there's also pommes de regal. Okay, yes, I will have a..."
Leisure Activities,198,200," Yes, thank you, thank you. slices see how why would I waste perfectly I can actually have this ten o'clock last night."
Playing Games,200,201," Yes, thank you, thank you. slices see how why would I waste perfectly I can actually have this ten o'clock last night."
Sitting,201,203," Yes, thank you, thank you. slices see how why would I waste perfectly I can actually have this ten o'clock last night."
Playing Games,203,204," Yes, thank you, thank you. slices see how why would I waste perfectly I can actually have this ten o'clock last night."
The image depicts a person drawing on a piece of paper. This activity falls under the category of **Leisure Activities**.,204,208," Yes, thank you, thank you. slices see how why would I waste perfectly I can actually have this ten o'clock last night."
Leisure Activities,208,209, How's it going? Good! Next time we have two coffee machines and then we can... I think you have missed 10 of the same ones.
Playing Games,209,210, How's it going? Good! Next time we have two coffee machines and then we can... I think you have missed 10 of the same ones.
Leisure Activities,210,217, How's it going? Good! Next time we have two coffee machines and then we can... I think you have missed 10 of the same ones.
Playing Games,217,218, How's it going? Good! Next time we have two coffee machines and then we can... I think you have missed 10 of the same ones.
Leisure Activities,218,220, How's it going? Good! Next time we have two coffee machines and then we can... I think you have missed 10 of the same ones.
"The image shows a dartboard and coloring pages with markers. This suggests a leisure activity. Therefore, the classification is **Leisure Activities**.",220,222, How's it going? Good! Next time we have two coffee machines and then we can... I think you have missed 10 of the same ones.
Playing Games,222,223, How's it going? Good! Next time we have two coffee machines and then we can... I think you have missed 10 of the same ones.
"The image provided appears to depict a living room and kitchen area. In the background, two individuals are visible in the kitchen, seemingly engaged in preparing food or drinks. One person is wearing an apron, which strongly suggests the activity of **Cooking**.",223,224, How's it going? Good! Next time we have two coffee machines and then we can... I think you have missed 10 of the same ones.
Leisure Activities,224,226, How's it going? Good! Next time we have two coffee machines and then we can... I think you have missed 10 of the same ones.
Making Coffee,226,227, How's it going? Good! Next time we have two coffee machines and then we can... I think you have missed 10 of the same ones.
Playing Games,227,228," How is it going? Good. Next time we have two coffee machines and then we have to go. Yes, the first. Next time I really get busted for an extra... Who else is not here? No. I mean, the not here. I mean the greater here, as in this room. Four, two, one, two, three, four. Yes, we're all here, I think. In theory, ah, except for Värmö. Mälnö is having a ball. He's probably arriving. So next time we agree that I will rent the same car, we'll bring a grand piano. Okay. Or maybe electric. Next time we're gonna get the proper car, so that already grand piano oh yes I like it in the music hall in the music hall in the music hall well you gotta leave that discussion with Signorin it needs to be across from the bar I mean I'm sure we can get a castle big enough that has its own bar I'm fairly certain that there are several Irish castles for rent yes excellent we'll take one of those like I would I would even be surprised if they if the number of It does not greatly exceed the number of Irish castles you like some breakfast I was on yard 11. The famous baked goods game."
Playing Games,228,229," How is it going? Good. Next time we have two coffee machines and then we have to go. Yes, the first. Next time I really get busted for an extra... Who else is not here? No. I mean, the not here. I mean the greater here, as in this room. Four, two, one, two, three, four. Yes, we're all here, I think. In theory, ah, except for Värmö. Mälnö is having a ball. He's probably arriving. So next time we agree that I will rent the same car, we'll bring a grand piano. Okay. Or maybe electric. Next time we're gonna get the proper car, so that already grand piano oh yes I like it in the music hall in the music hall in the music hall well you gotta leave that discussion with Signorin it needs to be across from the bar I mean I'm sure we can get a castle big enough that has its own bar I'm fairly certain that there are several Irish castles for rent yes excellent we'll take one of those like I would I would even be surprised if they if the number of It does not greatly exceed the number of Irish castles you like some breakfast I was on yard 11. The famous baked goods game."
